k,AIC,BIC
2,-1177281.7481155396,-1157946.71685397
3,-1218104.2149887085,-1189098.0213533775
4,-1241404.0257415771,-1202726.6697324847
5,-1261153.2743988037,-1212804.75601595
6,-1283112.7842330933,-1225093.1034764783
7,-1280703.8723373413,-1213013.029206965
8,-1302384.4775390625,-1225022.472034925
9,-1293492.2765655518,-1206459.1086876527
10,-1322171.2821655273,-1225466.951913867
11,-1327627.248764038,-1221251.7561386165
12,-1332470.2718582153,-1216423.6168590323
