category,n_comments,avg_signal,median_signal,signal_rate_top10,avg_sent_neg,avg_subjectivity,lex_hit_rate,self_disclosure_rate,avg_sad,avg_anxiety,avg_hopelessness,vid_title_sent,vid_desc_sent,vid_desc_subj,vid_desc_words
mental_health,2499,0.2593,0.0524,0.2853,0.1422,0.4921,0.4494,0.2105,0.1724,0.0972,0.033,-0.072,0.3568,0.306,106.2325
personal_vlog,2300,0.0453,0.0129,0.0322,0.071,0.3418,0.067,0.0257,0.0327,0.0135,0.0034,0.1076,0.2342,0.1524,44.587
fitness_wellness,2399,0.0663,0.0137,0.0617,0.0818,0.3421,0.0988,0.0471,0.0149,0.0095,0.0341,0.1187,0.5631,0.3728,172.7132
news_current_events,2450,0.0574,0.0179,0.051,0.1411,0.3607,0.0812,0.0122,0.0153,0.0123,0.0069,-0.3154,0.0591,0.4036,130.5102
music_entertainment,1219,0.0397,0.0129,0.0221,0.0946,0.2477,0.0509,0.0148,0.0168,0.0098,0.0055,0.0053,0.386,0.3612,192.1862
